t_burn (days),nu_burn (degrees),Minimum Relative Velocity (km/s),Time at Minimum Relative Velocity (days),Delta-V at Minimum Relative Velocity (km/s)
-200.0,225.45454545454544,30.56253649113968,308.32454075697325,14.709283721577194
-200.0,229.0909090909091,31.398190139051778,296.7453940426913,14.87531533587978
-200.0,232.72727272727272,33.14156106672701,273.5871006141277,14.634473869852203
-200.0,236.36363636363635,34.07451669161149,262.0079538998458,14.817302516796461
-200.0,240.0,36.08410731735728,238.84966047128214,14.512218975902591
-200.0,243.63636363636363,37.142401416180746,227.27051375700032,14.683589990769061
-200.0,247.27272727272725,38.24098048636417,215.69136704271838,14.85544118250202
-200.0,250.9090909090909,40.71379321934215,192.53307361415474,14.421491552667096
-200.0,254.54545454545453,41.98985264719426,180.95392689987287,14.542579140244063
-200.0,258.1818181818182,43.32493365204746,169.37478018559102,14.645624638318449
-200.0,261.8181818181818,44.72409436398852,157.79563347130917,14.72508972299583
-200.0,265.45454545454544,46.19246599730787,146.21648675702733,14.775949494637016
-200.0,269.09090909090907,47.734987659374156,134.63734004274548,14.793919023344484
-200.0,272.7272727272727,49.35595154866619,123.05819332846362,14.775823845147874
-200.0,276.3636363636364,51.058278370692584,111.47904661418175,14.72020426968367
-200.0,280.0,52.84248010170744,99.89989989989994,14.62829004952247
-200.0,283.6363636363636,54.70519086232512,88.32075318561806,14.505545141620113
-200.0,287.27272727272725,56.63731332892462,76.74160647133624,14.364049307415828
-200.0,290.9090909090909,56.041969578933106,76.74160647133624,14.902582002230732
-200.0,294.54545454545456,57.96162242673999,65.16245975705436,14.67360402717679
-200.0,298.1818181818182,59.90397871559115,53.5833130427725,14.460589053803979
-200.0,301.8181818181818,59.1297752472768,53.5833130427725,14.868058093767806
-200.0,305.45454545454544,60.98655748837812,42.004166328490676,14.588058441207833
-200.0,309.09090909090907,60.092108525387765,42.004166328490676,14.9390340851986
-200.0,312.7272727272727,61.82004932652384,30.425019614208807,14.612798323926835
-200.0,316.3636363636364,60.79945687143862,30.425019614208807,14.889596114329406
-200.0,320.0,62.36894016704281,18.84587289992698,14.552794128397403
